case,age,date,overall,potential,cash,card,Long Potting,Break Building,Cue Ball Control,Safety Play,Consistency,Composure,Focus,Resilience,Professionalism,Big Match Nerve,Stamina,Balance,Shoulder Health,Hand Steadiness,Recovery Rate
age30-start-rookie-pro-130363-30y,50,2046-06-30,78,78,5481481.87,False,70.68,74.86,75.78,78.1,74.01,90.6,92.5,88.21,92.17,79.79,49.53,55.99,52.28,58.04,48.96
age30-start-rookie-pro-130363-30y,51,2047-06-30,76,76,5513925.6,False,68.2,72.08,72.93,76.44,72.51,89.92,91.79,87.95,92.17,79.58,46.48,53.46,48.89,55.33,45.99
age30-start-rookie-pro-130363-30y,52,2048-06-30,74,74,5550724.76,False,65.57,69.14,69.93,74.62,70.88,89.01,90.84,87.6,92.17,79.29,43.43,50.84,45.51,52.51,43.0
age30-start-rookie-pro-130363-30y,53,2049-06-30,72,72,5583677.23,False,62.8,66.07,66.78,72.65,69.1,87.82,89.6,87.14,92.17,78.91,40.4,48.13,42.18,49.63,40.03
age30-start-rookie-pro-130363-30y,54,2050-06-30,71,71,5614332.82,False,60.57,63.56,64.34,71.44,67.72,86.77,88.45,86.97,92.36,78.84,37.82,45.61,39.12,46.95,37.37
age30-start-rookie-pro-130363-30y,55,2051-06-30,69,69,5649874.43,False,58.22,60.92,61.77,70.04,66.2,85.4,86.97,86.62,92.54,78.62,35.36,43.11,36.19,44.27,34.82
age30-start-rookie-pro-130363-30y,56,2052-06-30,67,67,5684319.93,False,55.58,58.04,58.86,68.22,64.38,83.57,85.04,86.03,92.67,78.17,32.76,40.5,33.31,41.53,32.22
age30-start-rookie-pro-130363-30y,57,2053-06-30,65,65,5715618.44,False,52.78,54.99,55.83,66.26,62.38,81.58,82.93,85.33,92.81,77.61,30.23,37.86,30.53,38.75,29.69
age30-start-rookie-pro-130363-30y,58,2054-06-30,63,63,5741505.17,False,49.88,51.8,52.64,64.0,60.19,79.45,80.7,84.54,92.96,76.97,27.76,35.21,27.84,35.98,27.22
age30-start-rookie-pro-130363-30y,59,2055-06-30,61,61,5774089.57,False,46.87,48.52,49.31,61.41,57.8,77.01,78.19,83.57,93.08,76.15,25.35,32.55,25.25,33.2,24.81
age30-start-rookie-pro-130363-30y,60,2056-06-30,58,58,5807697.43,False,43.75,45.17,45.91,58.67,55.2,74.35,75.46,82.45,93.21,75.2,22.99,29.89,22.77,30.45,22.47
age40-start-top-64-104729-30y,40,2026-05-11,74,76,8000,True,67,78,77,60,68,75,78,71,85,70,57,65,73,68,61
age40-start-top-64-104729-30y,41,2027-06-30,74,76,87129.03,True,67.56,78.4,77.64,61.26,68.6,76.33,79.39,72.18,85.69,70.71,56.55,64.42,71.53,67.42,60.18
age40-start-top-64-104729-30y,42,2028-06-30,74,76,196293.25,True,67.75,78.35,77.9,62.26,68.99,77.39,80.51,73.1,86.24,71.26,56.0,63.72,69.8,66.58,59.21
age40-start-top-64-104729-30y,43,2029-06-30,75,77,302600.95,False,67.97,78.29,77.99,63.06,69.35,78.47,81.65,74.06,86.76,71.84,55.11,62.79,67.76,65.6,57.94
age40-start-top-64-104729-30y,44,2030-06-30,75,77,361069.33,False,67.91,77.96,77.97,64.12,69.59,79.69,82.77,75.11,87.28,72.49,54.09,61.72,65.51,64.41,56.51
age40-start-top-64-104729-30y,45,2031-06-30,75,76,400346.46,False,67.72,77.45,77.67,64.95,69.73,80.88,83.82,76.17,87.79,73.14,52.83,60.46,63.04,63.05,54.87
age40-start-top-64-104729-30y,46,2032-06-30,74,75,431146.12,False,67.11,76.44,76.77,65.13,69.53,81.55,84.45,76.79,88.08,73.53,51.28,58.99,60.36,61.42,52.99
age40-start-top-64-104729-30y,47,2033-06-30,73,74,466454.2,False,66.33,75.26,75.71,65.33,69.23,82.22,85.03,77.48,88.4,73.95,49.53,57.35,57.53,59.65,50.95
age40-start-top-64-104729-30y,48,2034-06-30,73,74,496607.0,False,65.34,73.84,74.42,65.44,68.79,82.74,85.44,78.1,88.7,74.32,47.67,55.59,54.64,57.74,48.81
age40-start-top-64-104729-30y,49,2035-06-30,72,73,527751.4,False,64.23,72.24,72.92,65.3,68.25,83.11,85.73,78.69,88.98,74.65,45.73,53.72,51.71,55.72,46.61
age40-start-top-64-104729-30y,50,2036-06-30,71,71,558958.69,False,62.98,70.47,71.21,64.98,67.6,83.28,85.84,79.18,89.25,74.9,43.73,51.77,48.78,53.6,44.36
age40-start-top-64-104729-30y,51,2037-06-30,70,70,587083.94,False,61.63,68.65,69.43,64.69,66.87,83.34,85.8,79.67,89.54,75.15,41.65,49.72,45.86,51.42,42.06
age40-start-top-64-104729-30y,52,2038-06-30,70,70,620456.9,False,60.07,66.61,67.48,64.35,65.99,83.22,85.55,80.12,89.82,75.34,39.53,47.61,42.98,49.17,39.76
age40-start-top-64-104729-30y,53,2039-06-30,68,68,651053.97,False,58.41,64.44,65.38,63.8,65.01,82.84,85.06,80.42,90.09,75.43,37.45,45.47,40.19,46.88,37.49
age40-start-top-64-104729-30y,54,2040-06-30,67,67,682428.81,False,56.66,62.17,63.13,63.03,63.91,82.14,84.26,80.54,90.33,75.4,35.36,43.3,37.47,44.57,35.25
age40-start-top-64-104729-30y,55,2041-06-30,66,66,716098.36,False,54.76,59.78,60.8,62.26,62.68,81.23,83.21,80.6,90.59,75.3,33.26,41.09,34.85,42.24,33.04
age40-start-top-64-104729-30y,56,2042-06-30,64,64,752199.92,False,52.55,57.1,58.12,61.08,61.15,79.83,81.67,80.33,90.78,74.95,31.09,38.81,32.28,39.84,30.8
age40-start-top-64-104729-30y,57,2043-06-30,62,62,785276.78,False,50.24,54.28,55.3,59.65,59.48,78.24,79.97,79.94,90.95,74.49,28.96,36.52,29.79,37.41,28.61
age40-start-top-64-104729-30y,58,2044-06-30,60,60,818118.8,False,47.8,51.38,52.34,58.0,57.63,76.41,78.07,79.41,91.11,73.93,26.83,34.18,27.36,34.96,26.44
age40-start-top-64-104729-30y,59,2045-06-30,59,59,848036.38,False,45.22,48.35,49.3,56.26,55.6,74.41,75.96,78.8,91.28,73.28,24.73,31.83,25.01,32.5,24.32
age40-start-top-64-104729-30y,60,2046-06-30,56,56,878625.22,False,42.54,45.23,46.14,54.24,53.39,72.16,73.62,78.04,91.44,72.5,22.67,29.47,22.74,30.05,22.24
age40-start-top-64-104729-30y,61,2047-06-30,54,54,906678.08,False,39.79,42.07,42.92,51.96,51.0,69.61,70.99,77.07,91.59,71.55,20.69,27.14,20.58,27.62,20.24
age40-start-top-64-104729-30y,62,2048-06-30,52,52,931147.12,False,37.08,39.0,39.76,49.56,48.52,66.88,68.17,75.96,91.75,70.48,18.79,24.88,18.55,25.29,18.35
